,ID_hecho,FECHA,ID_ROL,ID_VICTIMA,ID_SEXO,EDAD
0,2016-0001,2016-01-01,1,1,M,19
1,2016-0002,2016-01-02,1,3,M,70
2,2016-0003,2016-01-03,1,1,M,30
3,2016-0004,2016-01-10,1,1,M,18
4,2016-0005,2016-01-21,1,1,M,29
5,2016-0008,2016-01-24,1,1,M,30
6,2016-0009,2016-01-24,3,1,M,29
7,2016-0010,2016-01-29,1,1,M,18
8,2016-0012,2016-02-08,1,1,M,22
9,2016-0013,2016-02-10,2,2,M,16
10,2016-0015,2016-02-14,2,2,F,16
11,2016-0016,2016-02-14,3,1,F,19
12,2016-0017,2016-02-15,2,2,M,59
13,2016-0019,2016-02-17,2,2,F,65
14,2016-0020,2016-02-17,2,2,M,59
15,2016-0021,2016-02-17,1,3,M,34
16,2016-0022,2016-02-21,3,1,M,41
17,2016-0025,2016-02-28,3,3,M,34
18,2016-0026,2016-02-28,1,3,M,30
19,2016-0027,2016-02-28,3,3,M,34
20,2016-0028,2016-03-02,2,2,M,50
21,2016-0029,2016-03-04,2,2,M,38
22,2016-0031,2016-03-08,1,1,M,21
23,2016-0034,2016-03-12,2,2,M,52
24,2016-0035,2016-03-13,1,1,M,34
25,2016-0036,2016-03-14,3,1,M,36
26,2016-0037,2016-03-19,1,1,M,20
27,2016-0038,2016-03-21,2,2,M,29
28,2016-0039,2016-03-23,1,1,M,20
29,2016-0041,2016-03-29,1,1,M,54
30,2016-0041,2016-03-29,3,1,M,0
31,2016-0043,2016-03-30,2,2,F,56
32,2016-0044,2016-03-31,1,1,M,24
33,2016-0045,2016-04-11,1,1,M,0
34,2016-0047,2016-04-15,2,2,M,41
35,2016-0048,2016-04-15,2,2,F,0
36,2016-0049,2016-04-17,0,0,SD,0
37,2016-0050,2016-04-19,2,2,M,78
38,2016-0051,2016-04-20,1,1,M,36
39,2016-0052,2016-04-20,0,1,SD,0
40,2016-0053,2016-04-22,2,2,M,38
41,2016-0054,2016-04-23,1,1,M,30
42,2016-0055,2016-04-25,2,2,M,79
43,2016-0056,2016-04-26,1,1,M,26
44,2016-0058,2016-05-04,2,2,F,57
45,2016-0059,2016-05-08,2,2,M,37
46,2016-0064,2016-05-14,2,2,M,20
47,2016-0065,2016-05-20,2,2,M,20
48,2016-0067,2016-05-21,3,1,F,30
49,2016-0068,2016-05-22,1,1,M,58
50,2016-0069,2016-05-23,1,3,M,30
51,2016-0073,2016-06-11,1,1,M,23
52,2016-0074,2016-06-12,1,3,M,60
53,2016-0075,2016-06-12,2,2,M,42
54,2016-0076,2016-06-13,2,2,F,53
55,2016-0077,2016-06-13,2,2,F,0
56,2016-0078,2016-06-13,1,1,M,30
57,2016-0079,2016-06-16,1,3,F,51
58,2016-0080,2016-06-18,1,3,M,60
59,2016-0081,2016-06-22,1,1,M,40
60,2016-0082,2016-06-27,2,2,M,87
61,2016-0083,2016-06-28,2,2,F,76
62,2016-0084,2016-06-29,2,2,M,57
63,2016-0085,2016-06-29,0,1,M,0
64,2016-0086,2016-06-30,2,2,M,75
65,2016-0087,2016-07-03,1,1,M,23
66,2016-0088,2016-07-11,2,2,F,70
67,2016-0089,2016-07-14,2,2,M,35
68,2016-0090,2016-07-14,2,2,M,60
69,2016-0092,2016-07-15,1,1,M,24
70,2016-0093,2016-07-17,1,3,M,35
71,2016-0095,2016-07-23,1,1,M,29
72,2016-0096,2016-07-25,1,1,M,0
73,2016-0097,2016-07-26,2,2,M,80
74,2016-0098,2016-07-27,1,1,F,43
75,2016-0099,2016-07-29,1,5,M,45
76,2016-0100,2016-08-03,1,1,M,57
77,2016-0101,2016-08-07,0,0,M,67
78,2016-0102,2016-08-10,1,1,M,29
79,2016-0104,2016-08-14,1,1,M,21
80,2016-0105,2016-08-17,2,2,M,19
81,2016-0106,2016-08-19,2,2,M,38
82,2016-0107,2016-08-20,1,1,M,21
83,2016-0109,2016-08-24,1,3,F,53
84,2016-0110,2016-08-24,2,2,M,57
85,2016-0111,2016-08-25,1,1,M,27
86,2016-0112,2016-08-27,1,1,M,24
87,2016-0113,2016-08-27,2,2,F,60
88,2016-0114,2016-08-31,4,4,F,55
89,2016-0115,2016-09-02,0,0,M,0
90,2016-0116,2016-09-02,1,1,M,30
91,2016-0117,2016-09-03,1,3,M,43
92,2016-0118,2016-09-04,1,3,M,27
93,2016-0119,2016-09-04,3,0,F,0
94,2016-0122,2016-09-13,4,4,M,49
95,2016-0123,2016-09-14,1,1,F,58
96,2016-0124,2016-09-16,2,2,M,67
97,2016-0125,2016-09-17,1,1,M,30
98,2016-0126,2016-09-18,1,3,M,37
99,2016-0126,2016-09-18,3,3,M,60
100,2016-0127,2016-09-24,2,2,M,50
101,2016-0128,2016-10-02,2,2,F,81
102,2016-0130,2016-10-04,1,1,M,29
103,2016-0131,2016-10-09,2,2,M,35
104,2016-0132,2016-10-10,3,3,M,30
105,2016-0133,2016-10-14,1,1,M,41
106,2016-0134,2016-10-23,1,1,M,25
107,2016-0135,2016-10-24,2,2,M,29
108,2016-0136,2016-10-25,1,1,SD,0
109,2016-0137,2016-10-25,1,1,M,30
110,2016-0138,2016-10-27,4,4,F,33
111,2016-0139,2016-10-28,3,1,F,35
112,2016-0140,2016-10-31,3,6,M,20
113,2016-0142,2016-11-05,1,1,M,46
114,2016-0143,2016-11-06,1,1,M,35
115,2016-0144,2016-11-07,2,2,M,83
116,2016-0145,2016-11-07,1,1,M,39
117,2016-0146,2016-11-09,2,2,F,29
118,2016-0147,2016-11-16,3,7,M,55
119,2016-0148,2016-11-16,1,1,M,0
120,2016-0150,2016-11-18,3,5,M,41
121,2016-0151,2016-11-18,2,2,SD,0
122,2016-0152,2016-11-23,1,1,M,42
123,2016-0153,2016-11-25,2,2,F,83
124,2016-0154,2016-11-26,1,1,M,38
125,2016-0155,2016-11-26,2,2,F,29
126,2016-0156,2016-11-26,1,1,M,23
127,2016-0157,2016-12-03,1,1,M,23
128,2016-0159,2016-12-04,1,3,M,23
129,2016-0160,2016-12-06,1,5,M,29
130,2016-0161,2016-12-06,2,2,M,50
131,2016-0162,2016-12-07,2,2,M,38
132,2016-0163,2016-12-10,1,1,M,23
133,2016-0164,2016-12-11,1,3,M,29
134,2016-0165,2016-12-12,4,4,M,37
135,2016-0168,2016-12-13,1,1,M,43
136,2016-0169,2016-12-15,1,1,M,24
137,2016-0170,2016-12-19,3,1,M,21
138,2016-0171,2016-12-25,1,1,SD,0
139,2016-0172,2016-12-26,1,1,M,38
140,2016-0173,2016-12-26,1,1,M,35
141,2016-0174,2016-12-27,0,0,SD,0
142,2016-0175,2016-12-27,2,2,F,0
143,2016-0176,2016-12-28,1,1,M,28
144,2016-0177,2016-12-29,2,2,F,27
145,2016-0178,2016-12-30,2,2,F,7
146,2017-0001,2017-01-02,1,1,M,18
147,2017-0003,2017-01-05,3,5,M,33
148,2017-0007,2017-01-11,2,2,M,48
149,2017-0008,2017-01-16,1,1,M,29
150,2017-0009,2017-01-16,1,1,M,36
151,2017-0010,2017-01-16,1,1,M,23
152,2017-0011,2017-01-22,3,1,F,29
153,2017-0012,2017-01-24,1,1,M,30
154,2017-0013,2017-01-27,2,2,M,4
155,2017-0014,2017-01-28,3,1,F,22
156,2017-0015,2017-02-02,2,2,M,82
157,2017-0016,2017-02-03,1,1,M,27
158,2017-0017,2017-02-06,1,1,M,32
159,2017-0018,2017-02-09,1,1,M,30
160,2017-0021,2017-02-18,1,1,M,43
161,2017-0024,2017-02-23,2,2,M,39
162,2017-0025,2017-02-24,1,1,M,23
163,2017-0026,2017-02-26,3,3,F,23
164,2017-0026,2017-02-26,1,3,M,19
165,2017-0027,2017-02-26,2,2,M,0
166,2017-0028,2017-02-28,2,2,M,87
167,2017-0029,2017-03-07,0,0,M,34
168,2017-0030,2017-03-07,1,3,F,27
169,2017-0031,2017-03-11,3,3,M,70
170,2017-0032,2017-03-12,3,3,F,40
171,2017-0033,2017-03-12,1,3,M,28
172,2017-0034,2017-03-13,2,2,M,43
173,2017-0035,2017-03-23,1,3,M,28
174,2017-0035,2017-03-23,3,3,M,32
175,2017-0035,2017-03-23,3,3,M,30
176,2017-0036,2017-03-29,3,1,F,0
177,2017-0036,2017-03-29,1,1,M,20
178,2017-0037,2017-03-31,1,1,M,41
179,2017-0038,2017-04-01,1,1,F,40
180,2017-0040,2017-04-03,1,3,M,43
181,2017-0041,2017-04-03,1,1,M,17
182,2017-0042,2017-04-10,1,1,M,0
183,2017-0045,2017-04-14,1,1,M,21
184,2017-0047,2017-04-23,1,1,M,37
185,2017-0049,2017-04-27,2,2,M,22
186,2017-0050,2017-04-28,1,1,M,46
187,2017-0050,2017-04-28,3,1,M,16
188,2017-0051,2017-05-01,1,3,M,33
189,2017-0052,2017-05-05,2,2,F,47
